Date,Departure,Arrival,Time,Type,Basic,Confort,Premium
2023-11-31,22.10,23.46,1 h. 36 min.,MD-LD,"desde 24,85 €","desde 26,55 €",No disponible
2023-11-32,07.00,08.33,1 h. 33 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,08.00,09.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,09.00,10.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,09.30,11.40,2 h. 10 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-32,12.00,13.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,12.40,14.54,2 h. 14 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-32,14.00,16.44,2 h. 44 min.,MD-MD,"desde 12,20 €",No disponible,No disponible
2023-11-32,14.00,15.30,1 h. 30 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,15.00,16.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,15.50,17.59,2 h. 9 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-32,17.00,18.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,18.00,19.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,19.08,21.26,2 h. 18 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-32,19.50,22.01,2 h. 11 min.,AVANT-MD,"desde 12,20 €",No disponible,No disponible
2023-11-32,21.15,22.51,1 h. 36 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-32,22.10,23.46,1 h. 36 min.,MD-LD,"desde 24,85 €","desde 26,55 €",No disponible
2023-11-33,07.00,08.33,1 h. 33 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,08.00,09.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,09.00,10.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,09.30,11.40,2 h. 10 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-33,12.00,13.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,12.40,14.54,2 h. 14 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-33,14.00,16.44,2 h. 44 min.,MD-MD,"desde 12,20 €",No disponible,No disponible
2023-11-33,14.00,15.30,1 h. 30 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,15.00,16.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,15.50,17.59,2 h. 9 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-33,17.00,18.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,18.00,19.20,1 h. 20 min.,MD,"desde 18,70 €",No disponible,No disponible
2023-11-33,19.08,21.26,2 h. 18 min.,REGIONAL,"desde 15,85 €",No disponible,No disponible
2023-11-33,19.50,22.01,2 h. 11 min.,AVANT-MD,"desde 12,20 €",No disponible,No disponible
